software,native_tool,operation_family,geometry_level,geometry_effect,creative_scenario,operation_semantics,ai_available,semantic_replaceability,spatial_agency,system_decision,frontend_primitive,backend_action,coding_note
Houdini,Boolean SOP,布尔运算,对象 / 实体区域,计算几何之间的并集、差集或交集。,打孔、切装甲槽、组合基础体、制作机械结构。,智能融合，把两个东西融合起来,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,实体化,实体化 /蒙皮等,表面 / 体积,给开放表面增加厚度或壳体体积。,做衣服、装甲、角、面具、外壳或薄片厚度。,布料模拟，皮肤模拟等,有,High,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=有；本结果仅为draft coding。
Maya,挤出厚度,实体化 /蒙皮等,表面 / 体积,给开放表面增加厚度或壳体体积。,做衣服、装甲、角、面具、外壳或薄片厚度。,布料模拟，皮肤模拟等,有,High,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=有；本结果仅为draft coding。
3ds Max,壳修改器,实体化 /蒙皮等,表面 / 体积,给开放表面增加厚度或壳体体积。,做衣服、装甲、角、面具、外壳或薄片厚度。,布料模拟，皮肤模拟等,有,High,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=有；本结果仅为draft coding。
Cinema 4D,布料曲面厚度,实体化 /蒙皮等,表面 / 体积,给开放表面增加厚度或壳体体积。,做衣服、装甲、角、面具、外壳或薄片厚度。,布料模拟，皮肤模拟等,有,High,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=有；本结果仅为draft coding。
ZBrush,Panel Loops/Extract,实体化 /蒙皮等,表面 / 体积,给开放表面增加厚度或壳体体积。,做衣服、装甲、角、面具、外壳或薄片厚度。,布料模拟，皮肤模拟等,有,High,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=有；本结果仅为draft coding。
Nomad Sculpt,壳,实体化 /蒙皮等,表面 / 体积,给开放表面增加厚度或壳体体积。,做衣服、装甲、角、面具、外壳或薄片厚度。,布料模拟，皮肤模拟等,有,High,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=有；本结果仅为draft coding。
Houdini,Solidify/PolyExtrude 厚度,实体化 /蒙皮等,表面 / 体积,给开放表面增加厚度或壳体体积。,做衣服、装甲、角、面具、外壳或薄片厚度。,布料模拟，皮肤模拟等,有,High,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=有；本结果仅为draft coding。
Blender,镜像,镜像 / 对称,对象 / 组件 / 笔刷笔触,沿轴或平面对几何或笔触做镜像。,雕脸、四肢、角、对称道具，减少重复手工操作。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Maya,镜像几何,镜像 / 对称,对象 / 组件 / 笔刷笔触,沿轴或平面对几何或笔触做镜像。,雕脸、四肢、角、对称道具，减少重复手工操作。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
3ds Max,对称,镜像 / 对称,对象 / 组件 / 笔刷笔触,沿轴或平面对几何或笔触做镜像。,雕脸、四肢、角、对称道具，减少重复手工操作。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Cinema 4D,对称对象,镜像 / 对称,对象 / 组件 / 笔刷笔触,沿轴或平面对几何或笔触做镜像。,雕脸、四肢、角、对称道具，减少重复手工操作。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
ZBrush,启用对称,镜像 / 对称,对象 / 组件 / 笔刷笔触,沿轴或平面对几何或笔触做镜像。,雕脸、四肢、角、对称道具，减少重复手工操作。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Nomad Sculpt,对称,镜像 / 对称,对象 / 组件 / 笔刷笔触,沿轴或平面对几何或笔触做镜像。,雕脸、四肢、角、对称道具，减少重复手工操作。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Houdini,Mirror SOP,镜像 / 对称,对象 / 组件 / 笔刷笔触,沿轴或平面对几何或笔触做镜像。,雕脸、四肢、角、对称道具，减少重复手工操作。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Blender,阵列,阵列 / 重复复制,对象 / 组件 / 实例,线性、径向、沿路径或以实例方式重复几何。,牙齿、鳞片、尖刺、螺栓、发束、重复装饰元素。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Maya,特殊复制 / MASH,阵列 / 重复复制,对象 / 组件 / 实例,线性、径向、沿路径或以实例方式重复几何。,牙齿、鳞片、尖刺、螺栓、发束、重复装饰元素。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
3ds Max,阵列,阵列 / 重复复制,对象 / 组件 / 实例,线性、径向、沿路径或以实例方式重复几何。,牙齿、鳞片、尖刺、螺栓、发束、重复装饰元素。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Cinema 4D,克隆器,阵列 / 重复复制,对象 / 组件 / 实例,线性、径向、沿路径或以实例方式重复几何。,牙齿、鳞片、尖刺、螺栓、发束、重复装饰元素。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
ZBrush,ArrayMesh/NanoMesh,阵列 / 重复复制,对象 / 组件 / 实例,线性、径向、沿路径或以实例方式重复几何。,牙齿、鳞片、尖刺、螺栓、发束、重复装饰元素。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Nomad Sculpt,重复,阵列 / 重复复制,对象 / 组件 / 实例,线性、径向、沿路径或以实例方式重复几何。,牙齿、鳞片、尖刺、螺栓、发束、重复装饰元素。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Houdini,Copy to Points,阵列 / 重复复制,对象 / 组件 / 实例,线性、径向、沿路径或以实例方式重复几何。,牙齿、鳞片、尖刺、螺栓、发束、重复装饰元素。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Blender,简单变形,弯曲 / 扭转 / 锥化,对象 / 区域,对已有几何做整体或局部弯曲、扭转、锥化或扭曲。,弯角、摆头发、风格化道具、夸张身体部位。,拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Maya,弯曲 / 扭转 / 张开,弯曲 / 扭转 / 锥化,对象 / 区域,对已有几何做整体或局部弯曲、扭转、锥化或扭曲。,弯角、摆头发、风格化道具、夸张身体部位。,拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
3ds Max,弯曲 / 扭转 / 锥化,弯曲 / 扭转 / 锥化,对象 / 区域,对已有几何做整体或局部弯曲、扭转、锥化或扭曲。,弯角、摆头发、风格化道具、夸张身体部位。,拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,弯曲 / 扭转 / 锥化,弯曲 / 扭转 / 锥化,对象 / 区域,对已有几何做整体或局部弯曲、扭转、锥化或扭曲。,弯角、摆头发、风格化道具、夸张身体部位。,拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
ZBrush,Gizmo 变形器,弯曲 / 扭转 / 锥化,对象 / 区域,对已有几何做整体或局部弯曲、扭转、锥化或扭曲。,弯角、摆头发、风格化道具、夸张身体部位。,拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Nomad Sculpt,弯曲 / 扭转,弯曲 / 扭转 / 锥化,对象 / 区域,对已有几何做整体或局部弯曲、扭转、锥化或扭曲。,弯角、摆头发、风格化道具、夸张身体部位。,拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,Bend/Twist/Lattice,弯曲 / 扭转 / 锥化,对象 / 区域,对已有几何做整体或局部弯曲、扭转、锥化或扭曲。,弯角、摆头发、风格化道具、夸张身体部位。,拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,比例编辑 / 晶格,晶格 / 软选择变形,组件 / 区域 / 控制笼,通过衰减或控制笼移动区域。,无硬边地细化轮廓、重塑脸部、摆有机体块。,形状上的变形，类似于我们要保留地拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Maya,软选择 / 晶格,晶格 / 软选择变形,组件 / 区域 / 控制笼,通过衰减或控制笼移动区域。,无硬边地细化轮廓、重塑脸部、摆有机体块。,形状上的变形，类似于我们要保留地拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
3ds Max,软选择 / FFD,晶格 / 软选择变形,组件 / 区域 / 控制笼,通过衰减或控制笼移动区域。,无硬边地细化轮廓、重塑脸部、摆有机体块。,形状上的变形，类似于我们要保留地拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,FFD,晶格 / 软选择变形,组件 / 区域 / 控制笼,通过衰减或控制笼移动区域。,无硬边地细化轮廓、重塑脸部、摆有机体块。,形状上的变形，类似于我们要保留地拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
ZBrush,Gizmo 衰减,晶格 / 软选择变形,组件 / 区域 / 控制笼,通过衰减或控制笼移动区域。,无硬边地细化轮廓、重塑脸部、摆有机体块。,形状上的变形，类似于我们要保留地拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Nomad Sculpt,带衰减移动,晶格 / 软选择变形,组件 / 区域 / 控制笼,通过衰减或控制笼移动区域。,无硬边地细化轮廓、重塑脸部、摆有机体块。,形状上的变形，类似于我们要保留地拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,Lattice/Edit,晶格 / 软选择变形,组件 / 区域 / 控制笼,通过衰减或控制笼移动区域。,无硬边地细化轮廓、重塑脸部、摆有机体块。,形状上的变形，类似于我们要保留地拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,旋转 / 螺旋,车削 / 旋转成形,曲线 / 剖面 / 曲面,把剖面绕轴旋转生成曲面。,杯子、花瓶、角、眼球、圆形装饰、旋转体道具。,转换成语义,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Maya,旋转成形,车削 / 旋转成形,曲线 / 剖面 / 曲面,把剖面绕轴旋转生成曲面。,杯子、花瓶、角、眼球、圆形装饰、旋转体道具。,转换成语义,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
3ds Max,车削,车削 / 旋转成形,曲线 / 剖面 / 曲面,把剖面绕轴旋转生成曲面。,杯子、花瓶、角、眼球、圆形装饰、旋转体道具。,转换成语义,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,车削,车削 / 旋转成形,曲线 / 剖面 / 曲面,把剖面绕轴旋转生成曲面。,杯子、花瓶、角、眼球、圆形装饰、旋转体道具。,转换成语义,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Nomad Sculpt,车削,车削 / 旋转成形,曲线 / 剖面 / 曲面,把剖面绕轴旋转生成曲面。,杯子、花瓶、角、眼球、圆形装饰、旋转体道具。,转换成语义,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,Revolve,车削 / 旋转成形,曲线 / 剖面 / 曲面,把剖面绕轴旋转生成曲面。,杯子、花瓶、角、眼球、圆形装饰、旋转体道具。,转换成语义,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,曲线倒角 / Skin,扫掠 / 放样 / 蒙皮,曲线 / 剖面 / 曲面,由路径、剖面、导轨或截面生成曲面。,头发管、触手、带子、线缆、角、丝带、风格化肢体。,空间中定位加人的手势操作引导+语言或许可以解决。,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Maya,扫掠网格 / 放样,扫掠 / 放样 / 蒙皮,曲线 / 剖面 / 曲面,由路径、剖面、导轨或截面生成曲面。,头发管、触手、带子、线缆、角、丝带、风格化肢体。,空间中定位加人的手势操作引导+语言或许可以解决。,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
3ds Max,扫掠 / 放样,扫掠 / 放样 / 蒙皮,曲线 / 剖面 / 曲面,由路径、剖面、导轨或截面生成曲面。,头发管、触手、带子、线缆、角、丝带、风格化肢体。,空间中定位加人的手势操作引导+语言或许可以解决。,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,扫掠 / 放样,扫掠 / 放样 / 蒙皮,曲线 / 剖面 / 曲面,由路径、剖面、导轨或截面生成曲面。,头发管、触手、带子、线缆、角、丝带、风格化肢体。,空间中定位加人的手势操作引导+语言或许可以解决。,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
ZBrush,CurveTube,扫掠 / 放样 / 蒙皮,曲线 / 剖面 / 曲面,由路径、剖面、导轨或截面生成曲面。,头发管、触手、带子、线缆、角、丝带、风格化肢体。,空间中定位加人的手势操作引导+语言或许可以解决。,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Nomad Sculpt,沿路径生成管,扫掠 / 放样 / 蒙皮,曲线 / 剖面 / 曲面,由路径、剖面、导轨或截面生成曲面。,头发管、触手、带子、线缆、角、丝带、风格化肢体。,空间中定位加人的手势操作引导+语言或许可以解决。,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,Sweep/Skin,扫掠 / 放样 / 蒙皮,曲线 / 剖面 / 曲面,由路径、剖面、导轨或截面生成曲面。,头发管、触手、带子、线缆、角、丝带、风格化肢体。,空间中定位加人的手势操作引导+语言或许可以解决。,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,收缩包裹,投射 / 贴合 / 收缩包裹,表面 / 网格 / 目标,让几何贴合目标表面、导向或投射方向。,重拓扑、衣服贴合身体、把表面细节贴到底模上。,拖拽,无,Medium,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=无；本结果仅为draft coding。
Maya,ShrinkWrap / Quad Draw Live,投射 / 贴合 / 收缩包裹,表面 / 网格 / 目标,让几何贴合目标表面、导向或投射方向。,重拓扑、衣服贴合身体、把表面细节贴到底模上。,拖拽,无,Medium,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=无；本结果仅为draft coding。
3ds Max,贴合,投射 / 贴合 / 收缩包裹,表面 / 网格 / 目标,让几何贴合目标表面、导向或投射方向。,重拓扑、衣服贴合身体、把表面细节贴到底模上。,拖拽,无,Medium,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,收缩包裹,投射 / 贴合 / 收缩包裹,表面 / 网格 / 目标,让几何贴合目标表面、导向或投射方向。,重拓扑、衣服贴合身体、把表面细节贴到底模上。,拖拽,无,Medium,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=无；本结果仅为draft coding。
ZBrush,Project All,投射 / 贴合 / 收缩包裹,表面 / 网格 / 目标,让几何贴合目标表面、导向或投射方向。,重拓扑、衣服贴合身体、把表面细节贴到底模上。,拖拽,无,Medium,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=无；本结果仅为draft coding。
Nomad Sculpt,投射 / 吸附,投射 / 贴合 / 收缩包裹,表面 / 网格 / 目标,让几何贴合目标表面、导向或投射方向。,重拓扑、衣服贴合身体、把表面细节贴到底模上。,拖拽,无,Medium,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,Ray/Shrinkwrap,投射 / 贴合 / 收缩包裹,表面 / 网格 / 目标,让几何贴合目标表面、导向或投射方向。,重拓扑、衣服贴合身体、把表面细节贴到底模上。,拖拽,无,Medium,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,抓取 / 弹性变形,雕刻抓取 / 移动,笔刷区域 / 表面,用笔刷衰减拉动或推动局部表面。,塑造头部轮廓、拉鼻子/耳朵/角、粗调有机比例。,拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Maya,雕刻移动,雕刻抓取 / 移动,笔刷区域 / 表面,用笔刷衰减拉动或推动局部表面。,塑造头部轮廓、拉鼻子/耳朵/角、粗调有机比例。,拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
ZBrush,Move/SnakeHook,雕刻抓取 / 移动,笔刷区域 / 表面,用笔刷衰减拉动或推动局部表面。,塑造头部轮廓、拉鼻子/耳朵/角、粗调有机比例。,拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Nomad Sculpt,移动 / 拖拽,雕刻抓取 / 移动,笔刷区域 / 表面,用笔刷衰减拉动或推动局部表面。,塑造头部轮廓、拉鼻子/耳朵/角、粗调有机比例。,拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,雕刻拉动 / 抓取,雕刻抓取 / 移动,笔刷区域 / 表面,用笔刷衰减拉动或推动局部表面。,塑造头部轮廓、拉鼻子/耳朵/角、粗调有机比例。,拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,Sculpt/Edit,雕刻抓取 / 移动,笔刷区域 / 表面,用笔刷衰减拉动或推动局部表面。,塑造头部轮廓、拉鼻子/耳朵/角、粗调有机比例。,拖拽,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,黏土 / 黏土条,雕刻黏土 / 堆体积,笔刷区域 / 体积,像黏土一样通过笔触添加或削减体积。,堆脸颊、肌肉、布褶、生物解剖、风格化头发体积。,人手的操作，类似于绘画,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
ZBrush,ClayBuildup/Standard,雕刻黏土 / 堆体积,笔刷区域 / 体积,像黏土一样通过笔触添加或削减体积。,堆脸颊、肌肉、布褶、生物解剖、风格化头发体积。,人手的操作，类似于绘画,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Nomad Sculpt,黏土 / 堆叠,雕刻黏土 / 堆体积,笔刷区域 / 体积,像黏土一样通过笔触添加或削减体积。,堆脸颊、肌肉、布褶、生物解剖、风格化头发体积。,人手的操作，类似于绘画,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,Wax/Pull,雕刻黏土 / 堆体积,笔刷区域 / 体积,像黏土一样通过笔触添加或削减体积。,堆脸颊、肌肉、布褶、生物解剖、风格化头发体积。,人手的操作，类似于绘画,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,Curve Clay/Sculpt,雕刻黏土 / 堆体积,笔刷区域 / 体积,像黏土一样通过笔触添加或削减体积。,堆脸颊、肌肉、布褶、生物解剖、风格化头发体积。,人手的操作，类似于绘画,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,平滑 / 压平 / 放松,雕刻平滑 / 压平 / 放松,笔刷区域 / 表面,减少凹凸、压平平面或放松不规则网格。,整理表面、去除雕刻噪声、制造平面化风格。,不同的雕刻笔刷，可能新界面还是需要保留,无,Medium,Medium,Hybrid,Smooth,Hybrid Backend,涉及局部平滑或重构，保留直觉调节并结合后端处理。 AI可用性原始标记=无；本结果仅为draft coding。
ZBrush,Smooth/TrimDynamic/HPolish,雕刻平滑 / 压平 / 放松,笔刷区域 / 表面,减少凹凸、压平平面或放松不规则网格。,整理表面、去除雕刻噪声、制造平面化风格。,不同的雕刻笔刷，可能新界面还是需要保留,无,Medium,Medium,Hybrid,Smooth,Hybrid Backend,涉及局部平滑或重构，保留直觉调节并结合后端处理。 AI可用性原始标记=无；本结果仅为draft coding。
Nomad Sculpt,平滑 / 压平 / 抛光,雕刻平滑 / 压平 / 放松,笔刷区域 / 表面,减少凹凸、压平平面或放松不规则网格。,整理表面、去除雕刻噪声、制造平面化风格。,不同的雕刻笔刷，可能新界面还是需要保留,无,Medium,Medium,Hybrid,Smooth,Hybrid Backend,涉及局部平滑或重构，保留直觉调节并结合后端处理。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,平滑 / 压平,雕刻平滑 / 压平 / 放松,笔刷区域 / 表面,减少凹凸、压平平面或放松不规则网格。,整理表面、去除雕刻噪声、制造平面化风格。,不同的雕刻笔刷，可能新界面还是需要保留,无,Medium,Medium,Hybrid,Smooth,Hybrid Backend,涉及局部平滑或重构，保留直觉调节并结合后端处理。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,Smooth/Sculpt,雕刻平滑 / 压平 / 放松,笔刷区域 / 表面,减少凹凸、压平平面或放松不规则网格。,整理表面、去除雕刻噪声、制造平面化风格。,不同的雕刻笔刷，可能新界面还是需要保留,无,Medium,Medium,Hybrid,Smooth,Hybrid Backend,涉及局部平滑或重构，保留直觉调节并结合后端处理。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,膨胀 / 收紧 / 刻痕,雕刻膨胀 / 收紧 / 刻痕,笔刷区域 / 细节,让局部膨胀、夹紧，或刻出锐利褶皱/沟槽。,眼睑、嘴唇、皱纹、发槽、布褶、有机锐利细节。,也算是直觉型操作,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
ZBrush,Inflate/Pinch/DamStandard,雕刻膨胀 / 收紧 / 刻痕,笔刷区域 / 细节,让局部膨胀、夹紧，或刻出锐利褶皱/沟槽。,眼睑、嘴唇、皱纹、发槽、布褶、有机锐利细节。,也算是直觉型操作,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Nomad Sculpt,膨胀 / 收紧 / 刻痕,雕刻膨胀 / 收紧 / 刻痕,笔刷区域 / 细节,让局部膨胀、夹紧，或刻出锐利褶皱/沟槽。,眼睑、嘴唇、皱纹、发槽、布褶、有机锐利细节。,也算是直觉型操作,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,膨胀 / 收紧,雕刻膨胀 / 收紧 / 刻痕,笔刷区域 / 细节,让局部膨胀、夹紧，或刻出锐利褶皱/沟槽。,眼睑、嘴唇、皱纹、发槽、布褶、有机锐利细节。,也算是直觉型操作,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
